spec_type,mWD,log(teff),log(L),logg,age(Gyrs),R(Rsun),Mbol,G,BP,RP
DA,0.6,4.54,-0.5664,7.8968,0.0058,0.0145,6.156,9.5064,9.2747,9.799
DA,0.6,4.56,-0.4784,7.8888,0.0051,0.0146,5.9361,9.4094,9.1733,9.7075
DA,0.6,4.58,-0.3899,7.8803,0.0044,0.0147,5.7148,9.3182,9.0785,9.6212
DA,0.6,4.6,-0.3008,7.8712,0.0038,0.0149,5.492,9.2318,8.9888,9.5392
DA,0.6,4.62,-0.2112,7.8616,0.0033,0.0151,5.268,9.1488,8.9029,9.4599
DA,0.6,4.64,-0.1207,7.8511,0.0029,0.0152,5.0418,9.0673,8.8187,9.3819
DA,0.6,4.66,-0.029,7.8394,0.0025,0.0154,4.8126,8.9857,8.7348,9.3035
DA,0.6,4.68,0.064,7.8264,0.0021,0.0157,4.5799,8.9027,8.6497,9.2235
DA,0.6,4.7,0.158,7.8124,0.0018,0.0159,4.3449,8.8229,8.568,9.1463
DA,0.6,4.72,0.2533,7.7971,0.0015,0.0162,4.1068,8.738,8.4812,9.064
DA,0.6,4.74,0.3496,7.7808,0.0013,0.0165,3.866,8.6518,8.3933,8.9803
DA,0.6,4.76,0.447,7.7634,0.0011,0.0169,3.6226,8.5638,8.3035,8.8946
DA,0.6,4.78,0.5453,7.7451,0.0009,0.0173,3.3767,8.4739,8.212,8.807
DA,0.6,4.8,0.645,7.7254,0.0007,0.0177,3.1275,8.3811,8.1178,8.7165
DA,0.6,4.82,0.7458,7.7046,0.0006,0.0181,2.8755,8.286,8.0211,8.6235
DA,0.6,4.84,0.8475,7.6829,0.0005,0.0186,2.6212,8.1887,7.9225,8.5283
DA,0.6,4.86,0.95,7.6604,0.0004,0.0191,2.365,8.0897,7.8222,8.4313
DA,0.6,4.88,1.0531,7.6373,0.0003,0.0196,2.1073,7.9892,7.7203,8.3328
DA,0.6,4.9,1.1566,7.6138,0.0002,0.0201,1.8484,7.8874,7.6173,8.233
DB,1.3,3.44,-6.2361,9.503,2.2969,0.0033,20.3302,21.1649,22.4452,20.0973
DB,1.3,3.46,-6.1558,9.5028,2.2945,0.0033,20.1296,20.8728,22.0761,19.8337
