spec_type,Mass,Teff,logg,Mbol,BC,U,B,V,R,I,J,H,Ks,Y,J,H,K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,u,g,r,i,z,g,r,i,z,y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age
DA,0.3,2500,7.457,17.238,0.195,20.827,19.108,17.042,0.017332915068208,16.208,16.651,17.093,17.745,16.734,16.584,17.005,17.703,15.331,14.885,14.264,13.705,15.139,14.891,14.807,14.571,21.746,18.129,16.418,16.597,16.548,17.819,16.421,16.611,16.501,16.731,16.767,17.286,16.111,16.783,17.291,16.133,51.68,30.412,9062000000
DA,0.3,2750,7.457,16.823,0.005,20.376,18.782,16.818,0.017341483165753,15.631,15.99,16.475,16.955,16.067,15.931,16.399,16.915,14.964,14.575,13.994,13.489,14.801,14.583,14.486,14.268,21.274,17.854,16.206,16.083,15.998,17.559,16.2,16.088,15.953,16.168,16.412,17.06,15.664,16.426,17.065,15.679,50.217,29.641,8152000000
DA,0.3,3000,7.456,16.444,-0.16,19.926,18.462,16.604,0.017350385030762,15.189,15.393,15.893,16.264,15.455,15.34,15.826,16.228,14.623,14.289,13.738,13.277,14.486,14.297,14.193,13.988,20.81,17.585,16.015,15.693,15.552,17.306,16.004,15.691,15.52,15.673,16.107,16.846,15.3,16.121,16.852,15.311,48.709,28.867,7330000000
DA,0.3,3250,7.455,16.094,-0.292,19.467,18.133,16.386,0.017369403507609,14.864,14.842,15.304,15.566,14.903,14.796,15.247,15.532,14.267,13.984,13.459,13.047,14.156,13.994,13.881,13.685,20.344,17.307,15.829,15.401,15.207,17.046,15.816,15.395,15.194,15.258,15.846,16.629,15.012,15.863,16.635,15.022,47.118,28.053,6538000000
DA,0.3,3500,7.454,15.77,-0.386,18.982,17.789,16.156,0.01738663502387,14.623,14.342,14.721,14.913,14.441,14.3,14.672,14.882,13.91,13.674,13.175,12.817,13.821,13.684,13.568,13.38,19.855,17.016,15.636,15.174,14.946,16.772,15.624,15.165,14.954,14.934,15.618,16.4,14.781,15.636,16.407,14.791,45.317,27.169,5705000000
DA,0.3,3750,7.453,15.467,-0.448,18.476,17.428,15.915,0.017413621114796,14.428,13.933,14.158,14.274,14.104,13.891,14.118,14.244,13.537,13.338,12.885,12.606,13.468,13.348,13.232,13.059,19.346,16.709,15.434,14.979,14.742,16.484,15.422,14.969,14.761,14.694,15.404,16.157,14.584,15.424,16.165,14.594,43.146,26.228,4787000000
DA,0.3,4000,7.452,15.183,-0.476,17.932,17.042,15.659,0.01744342023545,14.245,13.625,13.648,13.675,13.865,13.581,13.617,13.645,13.162,12.985,12.618,12.454,13.108,12.995,12.887,12.744,18.797,16.383,15.218,14.789,14.563,16.178,15.207,14.781,14.585,14.502,15.188,15.895,14.396,15.209,15.904,14.407,40.524,25.205,4058000000
DA,0.3,4250,7.45,14.915,-0.459,17.329,16.62,15.374,0.017481301623159,14.053,13.401,13.233,13.209,13.674,13.356,13.208,13.178,12.843,12.689,12.434,12.363,12.802,12.698,12.606,12.504,18.188,16.023,14.976,14.586,14.381,15.84,14.966,14.578,14.403,14.322,14.952,15.6,14.195,14.973,15.611,14.207,36.432,24.008,3560000000
DA,0.3,4500,7.447,14.659,-0.403,16.693,16.167,15.062,0.017543918402842,13.844,13.222,12.932,12.879,13.493,13.178,12.913,12.848,12.604,12.48,12.322,12.287,12.572,12.487,12.42,12.358,17.545,15.633,14.707,14.362,14.186,15.472,14.699,14.355,14.204,14.137,14.689,15.274,13.976,14.71,15.286,13.989,32.391,22.899,3100000000
DA,0.3,4750,7.442,14.412,-0.332,16.079,15.72,14.744,0.017642673907645,13.628,13.056,12.717,12.627,13.312,13.013,12.701,12.596,12.423,12.333,12.236,12.217,12.401,12.338,12.294,12.257,16.925,15.243,14.431,14.132,13.986,15.102,14.424,14.126,14,13.949,14.417,14.939,13.751,14.438,14.953,13.764,29.568,21.882,2612000000
DA,0.3,5000,7.433,14.168,-0.262,15.485,15.289,14.43,0.017816057990555,13.411,12.893,12.55,12.449,13.131,12.851,12.535,12.417,12.288,12.222,12.155,12.144,12.272,12.225,12.195,12.169,16.325,14.862,14.156,13.9,13.785,14.74,14.15,13.895,13.795,13.758,14.143,14.605,13.524,14.163,14.621,13.538,28.271,20.896,2067000000
DA,0.3,5250,7.423,13.929,-0.204,14.92,14.887,14.134,0.018039854046024,13.203,12.736,12.408,12.313,12.957,12.695,12.392,12.282,12.178,12.127,12.078,12.073,12.166,12.129,12.106,12.087,15.754,14.506,13.896,13.68,13.592,14.401,13.891,13.676,13.598,13.576,13.881,14.288,13.307,13.9,14.306,13.322,27.199,20.015,1651000000
